idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,True,True,True,5,5,"[4, 4]",,up up right right right,up up right right right
1,True,True,True,5,5,"[0, 1]",,up up up left left,up up up left left
2,True,True,True,9,9,"[4, 6]",,right right right right right right down down down,right right right right right right down down down
3,True,True,True,3,3,"[6, 2]",,down down right,down down right
4,True,True,True,2,2,"[4, 5]",,up up,up up
5,True,True,True,3,3,"[4, 4]",,up up right,up up right
6,True,True,True,3,3,"[1, 3]",,right right down,right right down
7,True,True,True,7,7,"[1, 1]",,up up up up left left left,up up up up left left left
8,True,True,True,3,3,"[1, 0]",,left left left,left left left
9,True,True,True,6,6,"[6, 1]",,down down down down down right,down down down down down right
10,True,True,True,4,4,"[1, 5]",,up up up right,up up up right
11,True,True,True,5,5,"[3, 4]",,down down right right right,down down right right right
12,True,True,True,3,3,"[3, 4]",,up left left,up left left
13,True,True,True,7,7,"[3, 2]",,left left left left down down down,left left left left down down down
14,True,True,True,10,10,"[1, 6]",,up up up up right right right right right right,up up up up right right right right right right
15,True,True,True,8,8,"[4, 6]",,down right right right right down down down,down right right right right down down down
16,True,True,True,4,4,"[1, 1]",,down left left left,down left left left
17,True,True,True,9,9,"[0, 0]",,up up up up up up left left left,up up up up up up left left left
18,True,True,True,9,9,"[0, 6]",,up up up right right right right right right,up up up right right right right right right
19,False,True,False,0,9,"[6, 6]",,,
20,False,True,False,0,9,"[1, 1]",,,
21,True,True,True,3,3,"[4, 0]",,down down down,down down down
22,True,True,True,4,4,"[1, 4]",,up up up left,up up up left
23,True,True,True,4,4,"[2, 3]",,left left left down,left left left down
24,False,True,False,0,6,"[5, 1]",,,
25,False,True,False,0,12,"[6, 5]",,,
26,True,True,True,2,2,"[6, 3]",,down right,down right
27,True,True,True,9,9,"[5, 2]",,down down down down down left left left left,down down down down down left left left left
28,True,True,True,10,10,"[6, 6]",,down down down down right right right right right right,down down down down right right right right right right
29,True,True,True,5,5,"[5, 1]",,left left left left left,left left left left left
30,True,True,True,2,2,"[5, 6]",,up right,up right
31,True,True,True,4,4,"[4, 3]",,up right right right,up right right right
