idx,success,feasible,optimal,action_count,optimal_length,end,error,actions,prediction
0,False,True,False,0,5,"[6, 1]",,,
1,False,True,False,4,5,"[0, 2]",,up left up up,up left up up
2,True,True,True,9,9,"[4, 6]",,right right right right right right down down down,right right right right right right down down down
3,True,True,True,3,3,"[6, 2]",,down right down,down right down
4,False,True,False,7,2,"[3, 5]",,up up up down down up up,up up up down down up up
5,False,True,False,19,3,"[2, 6]",,up right up up right down left left down left down up right up right up up right right,up right up up right down left left down left down up right up right up up right right
6,False,True,False,7,3,"[3, 5]",,down right right down right right down,down right right down right right down
7,True,True,True,7,7,"[1, 1]",,up up up up left left left,up up up up left left left
8,True,True,True,3,3,"[1, 0]",,left left left,left left left
9,False,True,False,9,6,"[6, 0]",,down right down right down down down left left,down right down right down down down left left
10,False,True,False,14,4,"[0, 6]",,up right up up up right down left down left up right up right,up right up up up right down left down left up right up right
11,True,True,True,5,5,"[3, 4]",,down down right right right,down down right right right
12,False,True,False,21,3,"[1, 2]",,up left up left left up left left down right down down right right right up left up left up left,up left up left left up left left down right down down right right right up left up left up left
13,False,True,False,27,7,"[5, 0]",,down left left down left left left left down down down up right up right up up right right down left down left down down left left,down left left down left left left left down down down up right up right up up right right down left down left down down left left
14,False,True,False,0,10,"[5, 0]",,,
15,False,True,False,14,8,"[2, 6]",,down down right down down down down right right right up up up up,down down right down down down down right right right up up up up
16,True,True,True,4,4,"[1, 1]",,down left left left,down left left left
17,True,True,True,9,9,"[0, 0]",,up up up up up up left left left,up up up up up up left left left
18,True,True,True,9,9,"[0, 6]",,up up up right right right right right right,up up up right right right right right right
19,False,True,False,0,9,"[6, 6]",,,
20,False,True,False,0,9,"[1, 1]",,,
21,True,True,True,3,3,"[4, 0]",,down down down,down down down
22,False,True,False,6,4,"[0, 3]",,up left up up up left,up left up up up left
23,False,True,False,0,4,"[1, 6]",,,
24,False,True,False,0,6,"[5, 1]",,,
25,False,True,False,0,12,"[6, 5]",,,
26,True,True,True,2,2,"[6, 3]",,down right,down right
27,False,True,False,0,9,"[0, 6]",,,
28,False,True,False,0,10,"[2, 0]",,,
29,False,True,False,10,5,"[5, 0]",,left left left left left left right right left left,left left left left left left right right left left
30,False,True,False,3,2,"[4, 6]",,up right up,up right up
31,False,True,False,0,4,"[5, 0]",,,
32,False,True,False,0,9,"[1, 0]",,,
33,True,True,True,2,2,"[2, 0]",,left left,left left
34,False,True,False,9,3,"[0, 3]",,down left left left down up right up right,down left left left down up right up right
35,False,True,False,0,3,"[0, 2]",,,
36,True,True,True,3,3,"[2, 5]",,up right right,up right right
37,True,True,True,4,4,"[0, 2]",,up up up up,up up up up
38,False,True,False,0,5,"[5, 6]",,,
39,False,True,False,0,9,"[6, 1]",,,
40,False,True,False,0,9,"[6, 0]",,,
41,False,True,False,0,5,"[2, 0]",,,
42,False,True,False,0,9,"[6, 0]",,,
43,False,True,False,0,9,"[0, 5]",,,
44,False,True,False,12,4,"[6, 6]",,down down down down down up up up down down down down,down down down down down up up up down down down down
45,False,True,False,4,1,"[5, 4]",,right right left left,right right left left
46,False,True,False,0,9,"[5, 5]",,,
47,False,True,False,0,10,"[6, 5]",,,
48,False,True,False,9,4,"[2, 5]",,right right right right right left left right right,right right right right right left left right right
49,True,True,True,6,6,"[1, 2]",,up up up up left left,up up up up left left
50,False,True,False,7,2,"[4, 3]",,left left left right right left left,left left left right right left left
51,False,True,False,11,1,"[2, 5]",,up up up down down down down up up up up,up up up down down down down up up up up
52,False,True,False,0,5,"[4, 1]",,,
53,False,True,False,0,6,"[1, 1]",,,
54,False,True,False,0,9,"[3, 0]",,,
55,False,True,False,0,10,"[5, 5]",,,
56,False,True,False,0,9,"[0, 2]",,,
57,False,True,False,0,11,"[6, 0]",,,
58,False,True,False,0,7,"[6, 3]",,,
59,True,True,True,6,6,"[2, 5]",,up up right right right right,up up right right right right
60,True,True,True,5,5,"[0, 1]",,left left left up up,left left left up up
